iri,broader,prefLabel
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/aggregate,,aggregate
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/cement,,cement
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/clay,,clay
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/concrete,,concrete
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/gravel,,gravel
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/metal,,metal
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/plastic,,plastic
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/rock,,rock
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/sand,,sand
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/spoilOrCuttings,,spoil or cuttings
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/stainlessSteel,,stainless steel
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/steel,,steel
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/unknown,,unknown
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/uPVC,,uPVC
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/uPVC12,,uPVC12
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/uPVS15,,uPVC15
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/uPVC18,,uPVC18
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/uPVC6,,uPVC6
https://pid.geoscience.gov.au/def/voc/ga/BoreholeConstructionMaterial/uPVC9,,uPVC9
