iri,broader,prefLabel
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/appraisal,,appraisal
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/coalQuality,,coal quality
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/development,,development
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/environmental,,environmental
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/exploration,,exploration
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/gasAnalysis,,gas analysis
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/geochemistry,,geochemistry
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/geothermal,,geotechnical
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/hydrological,,hydrological
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/lox,,lox
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/monitoring,,monitoring
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/research,,research
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/scientificInvestigationConstents,,Scientific Investigation Consents
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/sequestration,,sequestration
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/service,,service
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/stratigraphicInvestigation,,stratigraphic investigation
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/structure,,structure
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/unknown,,unknown
https://pid.geoscience.gov.au/def/voc/ga/BoreholePurpose/watersupply,,water supply
