iri,broader,prefLabel
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/AFG,,Afghanistan
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/MX-AGU,https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/MEX,Aguascalientes
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/CL-AI,https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/CHL,Aisen del General Carlos Ibanez del Campo
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/US-AL,https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/USA,Alabama
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/ALA,,Aland Islands
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/US-AK,https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/USA,Alaska
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/ALB,,Albania
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/CA-AB,https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/CAN,Alberta
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/DZA,,Algeria
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/ASM,,American Samoa
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/US-AS,https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/USA,American Samoa
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/AND,,Andorra
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/ME-01,https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/MNE,Andrijevica
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/AGO,,Angola
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/AIA,,Anguilla
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/ATA,,Antarctica
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/ATG,,Antigua and Barbuda
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/CL-AN,https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/CHL,Antofagasta
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/ARG,,Argentina
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/CL-AP,https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/CHL,Arica y Parinacota
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/US-AZ,https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/USA,Arizona
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/US-AR,https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/USA,Arkansas
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/ARM,,Armenia
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/ABW,,Aruba
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/CL-AT,https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/CHL,Atacama
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/NZ-AUK,https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/NZL,Auckland
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/AUS,,Australia
https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/AU-ACT,https://pid.geoscience.gov.au/def/voc/ga/CountryCodes/AUS,Australian Capital Territory
