iri,broader,prefLabel
https://pid.geoscience.gov.au/def/voc/ga/FieldSitePurpose/environmental-study,,environmental study
https://pid.geoscience.gov.au/def/voc/ga/FieldSitePurpose/geochemistry,,geochemistry
https://pid.geoscience.gov.au/def/voc/ga/FieldSitePurpose/geochronology,,geochronology
https://pid.geoscience.gov.au/def/voc/ga/FieldSitePurpose/geological-study,,geological study
https://pid.geoscience.gov.au/def/voc/ga/FieldSitePurpose/geophysics,,geophysics
https://pid.geoscience.gov.au/def/voc/ga/FieldSitePurpose/hydrochemistry,,hydrochemistry
https://pid.geoscience.gov.au/def/voc/ga/FieldSitePurpose/mineral-resource-appraisal,,mineral resource appraisal
https://pid.geoscience.gov.au/def/voc/ga/FieldSitePurpose/multi-purpose-appraisal,,multi-purpose appraisal
https://pid.geoscience.gov.au/def/voc/ga/FieldSitePurpose/natural-resource-management-study,,natural resource management study
https://pid.geoscience.gov.au/def/voc/ga/FieldSitePurpose/neotectonics,,neotectonics
https://pid.geoscience.gov.au/def/voc/ga/FieldSitePurpose/petrophysics,,petrophysics
https://pid.geoscience.gov.au/def/voc/ga/FieldSitePurpose/unknown,,unknown
