iri,broader,prefLabel
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/abnormally_high_tide,,Abnormally high tide
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/adaptive_capacity,,Adaptive capacity
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/administrative_data,,Administrative data
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/aftershock,https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/earthquake,Aftershock
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/agricultural,,Agricultural
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/analysis,,Analysis
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/astronomical_tide,,Astronomical tide
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/bathymetry,,Bathymetry
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/biological_hazard,,Biological hazard
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/building,,Building
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/built,,Built (domain)
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/burn_scar,,Burn scar
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/bushfire,,Bushfire
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/census,,Census
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/climate,,Climate
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/climate_projections,,Climate projections
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/coastal,,Coastal
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/communities,,Communities
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/consequences,,Consequence
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/convection,,Convection
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/convective_cloud,,Convective cloud
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/coping_capacity,,Coping capacity
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/critical_infrastructure,,Critical infrastructure
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/damage_ratio,,Damage ratio
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/damaging_waves,,Damaging waves
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/damaging_winds,,Damaging Winds
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/data,,Data
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/data_visualisation,,Data visualisation
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/dataset,,Dataset
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/demographics,,Demographics
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/destructive_winds,,Destructive Winds
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/direct_economic_loss,https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/economic_loss,Direct economic loss
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/disaster,,Disaster
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/disaster_risk,,Disaster risk
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/disaster_risk_mitigation,,Disaster risk mitigation
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/disaster_risk_prevention,,Disaster risk prevention
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/disaster_risk_reduction,,Disaster risk reduction
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/displacement,,Displacement
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/distribution_electricity,,Distribution (electricity)
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/domain,,Domain
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/domain_modelling,,Domain (modelling)
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/drought,,Drought
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/dust_storm,,Dust storm
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/dwelling,https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/residential_building,Dwelling
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/dynamical_downscaling,,Dynamical downscaling
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/earthquake,https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/geophysical_hazards,Earthquake
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/economic_domain,,Economic (domain)
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/economic_loss,,Economic loss
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/elevation,,Elevation
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/environmental_assets,,Environmental assets
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/environmental_hazards,,Environmental hazards
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/essential_services,,Essential Services
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/estimate,,Estimate
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/event,,Event
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/exceedance_probability,,Exceedance probability
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/exposure,,Exposure
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/families,,Families
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/flash_flood,https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/hydrometeorological_hazard,Flash flood
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/flood,https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/hydrometeorological_hazard,Flood
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/flood_extent,,Flood extent
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/forecast_weather,,Forecast (weather)
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/forecasts_data,,Forecasts (data)
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/geophysical_hazards,,Geophysical hazards
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/granularity,,Granularity
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/hail,,Hail
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/hazard,,Hazard
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/hazardous_surf,,Hazardous surf
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/heatwave,,Heatwave
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/highest_astronomical_tide,https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/astronomical_tide,Highest astronomical tide
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/household,,Household
https://pid.geoscience.gov.au/def/voc/ga/HazardAndRisk/housing,,Housing
