iri,broader,prefLabel
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/aeolian-dunes,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/aeolian-landforms,aeolian dunes
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/aeolian-landforms,,aeolian landforms
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/aeolian-sheet,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/aeolian-landforms,aeolian sheet
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/alluvial-fan,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/fan,alluvial fan
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/alluvial-landforms,,alluvial landforms
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/alluvial-plain,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/alluvial-landforms,alluvial plain
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/alluvial-swamp,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/alluvial-landforms,alluvial swamp
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/alluvial-terrace,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/alluvial-landforms,alluvial terrace
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/anastomatic-plain,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/alluvial-landforms,anastomatic plain
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/ash-plain,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/volcano,ash plain
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/badlands,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/erosional-landforms,badlands
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/bar-plain,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/alluvial-landforms,bar plain
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/beach,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/coastal-lands,beach
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/beach-ridge,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/coastal-lands,beach ridge plain
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/caldera,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/volcano,caldera
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/chenier-plain,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/coastal-lands,chenier plain
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/coastal-dunes,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/coastal-lands,coastal dunes
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/coastal-lands,,coastal lands
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/coastal-plain,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/coastal-lands,coastal plain
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/colluvial-fan,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/fan,colluvial fan
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/cone-volcanic,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/volcano,cone (volcanic)
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/coral-reef,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/coastal-lands,coral reef
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/covered-plain,https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/alluvial-landforms,covered plain
https://pid.geoscience.gov.au/def/voc/ga/LandformTypes/delta,,delta
