iri,broader,prefLabel
https://pid.geoscience.gov.au/def/voc/ga/Legislation/anpm,,ANPM
https://pid.geoscience.gov.au/def/voc/ga/Legislation/dsdp,,DSDP
https://pid.geoscience.gov.au/def/voc/ga/Legislation/jpda,,JPDA
https://pid.geoscience.gov.au/def/voc/ga/Legislation/odp,,ODP
https://pid.geoscience.gov.au/def/voc/ga/Legislation/opggsa,,OPGGSA
https://pid.geoscience.gov.au/def/voc/ga/Legislation/prePsla,,pre-PSLA
https://pid.geoscience.gov.au/def/voc/ga/Legislation/psla,,PSLA
https://pid.geoscience.gov.au/def/voc/ga/Legislation/scientificInvestigationConsents,,Scientific investigation consents
https://pid.geoscience.gov.au/def/voc/ga/Legislation/stateOnshore,,State onshore
https://pid.geoscience.gov.au/def/voc/ga/Legislation/stateWater,,State waters
https://pid.geoscience.gov.au/def/voc/ga/Legislation/unknown,,unknown
https://pid.geoscience.gov.au/def/voc/ga/Legislation/zoc,,ZOC
