iri,broader,prefLabel
https://pid.geoscience.gov.au/def/voc/ga/MiningWasteStructureType/centreline_dam,,centreline dam
https://pid.geoscience.gov.au/def/voc/ga/MiningWasteStructureType/downstream_dam,,downstream dam
https://pid.geoscience.gov.au/def/voc/ga/MiningWasteStructureType/dry-stacked,,dry-stacked
https://pid.geoscience.gov.au/def/voc/ga/MiningWasteStructureType/evaporation_pond,,evaporation pond
https://pid.geoscience.gov.au/def/voc/ga/MiningWasteStructureType/in-pit,,in-pit
https://pid.geoscience.gov.au/def/voc/ga/MiningWasteStructureType/landform,,landform
https://pid.geoscience.gov.au/def/voc/ga/MiningWasteStructureType/single_stage_dam,,single stage dam
https://pid.geoscience.gov.au/def/voc/ga/MiningWasteStructureType/unknown,,unknown
https://pid.geoscience.gov.au/def/voc/ga/MiningWasteStructureType/upstream_dam,,upstream dam
https://pid.geoscience.gov.au/def/voc/ga/MiningWasteStructureType/waste_rock_dump,,waste rock dump
