iri,broader,prefLabel
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/akmolith,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/intrusion,akmolith
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/amygdale,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/volcanic-feature,amygdale
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/apophysis,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/intrusion,apophysis
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/band-layer,,"band, layer"
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/batholith,,batholith
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/bed,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/band-layer,bed
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/bioclast,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/clast,bioclast
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/block,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/pyroclast,block
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/bomb,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/pyroclast,bomb
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/cactolith,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/intrusion,cactolith
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/cement,,cement
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/chonolith,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/intrusion,chonolith
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/clast,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/detritus,clast
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/concretion,,concretion
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/cone-sheet,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/ring-complex,cone sheet
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/cooling-column,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/volcanic-feature,cooling column
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/corona,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/mineral-overgrowth,corona
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/cryptoexplosive,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/volcanic-feature,cryptoexplosive
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/crystal,,crystal
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/crystalloblast,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/crystal,crystalloblast
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/cumulate-mineral,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/crystal,cumulate mineral
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/cupola,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/intrusion,cupola
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/detritus,,detritus
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/ductolith,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/intrusion,ductolith
https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/dyke,https://pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence/intrusion,dyke
