iri,broader,prefLabel
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/Geoprocessing-Service,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/ESRI,ArcGIS Geoprocessing Service
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/Image-Service,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/ESRI,ArcGIS Image Service
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/Map-Service,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/ESRI,ArcGIS Map Service
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/Services-Directory-Page,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/ESRI,ArcGIS Services Directory Page
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/AIMS-HTTP-get-feature,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/ESRI,ArcIMS Internet Feature Map Service
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/AIMS-HTTP-get-image,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/ESRI,ArcIMS Internet Image Map Service
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/AIMS-HTTP-configuration,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/ESRI,ArcIMS Map Service Configuration File AXL
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/CSW,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/OGC,Catalogue Service for the Web
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/FILE-DATA-DIRECTORY,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/File,Data Directory
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/Database,,Database
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/DataTurbine,,DataTurbine
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/ESRI,,ESRI
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/File,,File
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/JetStream,,File for download through Jetstream Proxy
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/WFS-G,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/OGC,Gazetteer Service
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/GML,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/OGC,Geography Markup Language
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/FILE-GEO,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/File,GIS file
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/FILE-RASTER,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/File,GIS Raster file
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/GoogleEarth,,Google Earth KML Service 2.0
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/HTTP-ical,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/W3C,iCalendar URL
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/KML,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/OGC,KML Keyhole Markup Language
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/OGC,,Open Geospatial Consortium
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/HTTP-opendap,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/W3C,OPeNDAP URL
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/ODS,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/OGC,OpenLS Directory Service
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/OGS,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/OGC,OpenLS Gateway Service
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/OPS,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/OGC,OpenLS Presentation Service
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/ORS,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/OGC,OpenLS Route Service
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/OUS,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/OGC,OpenLS Utility Service
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/DB-ORACLE,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/Database,ORACLE database table
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/HTTP-partners,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/W3C,Partner web address URL
https://pid.geoscience.gov.au/def/voc/ga/protocoltype/DB-POSTGIS,https://pid.geoscience.gov.au/def/voc/ga/protocoltype/Database,PostGIS database table
