iri,broader,prefLabel
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/analyticalBlank,,analytical blank
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/anthropogenicMaterial,,anthropogenic material
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/boreholeSpecimen,,borehole specimen
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/burnSpot,,burn spot
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/catchmentOutletSpecimen,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/unconsolidated,catchment outlet specimen
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/cavings,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/drillChipsCuttings,cavings
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/coastalFloatSpecimen,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/floatSpecimen,coastal float specimen
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/coastalSample,,coastal sample
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/concentrate,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/fraction,concentrate
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/core,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/boreholeSpecimen,core
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/corePlug,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/core,core plug
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/coreSlice,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/core,core slice
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/crush,,crush
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/downholeReservoirFluidSample,,downhole reservoir fluid sample
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/drillChipsCuttings,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/boreholeSpecimen,drill chips or cuttings
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/drillingFluidSpecimen,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/boreholeSpecimen,drilling fluid specimen
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/fieldSiteObservation,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/fieldSiteObservation,field site observation
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/fieldSiteSpecimen,,field site specimen
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/filteredWaterColumnSpecimen,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/waterColumnSpecimen,filtered water column specimen
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/floatSpecimen,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/rockPieces,float specimen
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/fluidInclusion,,fluid inclusion
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/fuildMeltInclusionSection,,fluid or melt inclusion section
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/fossil,,fossil
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/fraction,,fraction
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/gasSpecimen,,gas specimen
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/grainsizeFraction,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/fraction,grainsize fraction
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/gravel,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/unconsolidated,gravel
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/halfCore,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/core,half core
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/incubationWaterSpecimen,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/waterSpecimen,incubation water specimen
https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/isoTube,https://pid.geoscience.gov.au/def/voc/ga/GeologySampleType/boreholeSpecimen,IsoTube
