iri,broader,prefLabel
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/apron,,Apron
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/bank,,Bank
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/block,,Block
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/break_in_slope,,Break in Slope
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/canyon,,Canyon
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/centreline,,Centreline
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/channel,,Channel
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/cone,,Cone
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/crest,,Crest
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/crevice,,Crevice
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/depression,,Depression
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/escarpment,,Escarpment
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/fan,,Fan
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/floor,,Floor
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/gap,,Gap
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/groove,,Groove
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/gully,,Gully
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/hill,,Hill
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/hole,,Hole
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/hummocks,,Hummock(s)
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/knoll,,Knoll
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/lineament,,Lineament
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/moat,,Moat
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/mound,,Mound
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/peak,,Peak
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/pinnacle,,Pinnacle
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/plane,,Plane
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/plateau,,Plateau
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/platform,,Platform
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/promontory,,Promontory
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/ridge,,Ridge
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/saddle,,Saddle
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/seamount,,Seamount
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/sill,,Sill
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/slope,,Slope
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/terrace,,Terrace
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/thalweg,,Thalweg
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/trench,,Trench
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/trough,,Trough
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyMorphology/valley,,Valley
