iri,broader,prefLabel
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyPhysiography/abyssal_plain,,abyssal plain
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyPhysiography/accretionary_prism,,accretionary prism
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyPhysiography/axial_high,,axial high
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyPhysiography/axial_valley,,axial valley
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyPhysiography/back-arc_basin,,back-arc basin
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyPhysiography//continetal_rise,,continental rise
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyPhysiography/continental_shelf,,continental shelf
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyPhysiography//continental_slope,,continental slope
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyPhysiography/fore-arc_basin,,fore-arc basin
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyPhysiography/island_arc,,island arc
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyPhysiography/mid-ocean_ridge,,mid-ocean ridge
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologyPhysiography/oceanic_trench,,oceanic trench
