iri,broader,prefLabel
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/complex_pockmark,https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/pockmark,'complex' pockmark (BGU-T)
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/normal_pockmark,https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/pockmark,'normal' pockmark (BGU-T)
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/abyssal_hill,https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/Solid_Earth_Setting,abyssal hill (BGU)
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/agglutinating,https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/bioherm,agglutinating (BGU-T)
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/anchor_drag,https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/disturbance,anchor drag (BGU-T)
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/annulate,https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/bioherm,annulate/annular (BGU-T)
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/Anthropogenic_Process,,Anthropogenic Process
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/arch,https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/rocky_coast,arch (BGU-T)
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/archaeological,https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/Anthropogenic_Process,archaeological (BGU)
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/artificial_reef,https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/structure,artificial reef (BGU-T)
https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/atoll,https://pid.geoscience.gov.au/def/voc/ga/SeabedGeomorphologySettings/biogenic_reef,atoll (BGU-T)
